,UBIQUE,S&P 500
01/09/2012," $346,974.79 "," $159,356.58 "
01/10/2012," $330,778.62 "," $156,178.08 "
01/11/2012," $316,264.40 "," $156,618.24 "
01/12/2012," $322,838.96 "," $157,707.45 "
01/01/2013," $343,574.92 "," $165,660.34 "
01/02/2013," $348,014.73 "," $167,492.65 "
01/03/2013," $378,736.14 "," $173,520.33 "
01/04/2013," $390,175.88 "," $176,659.69 "
01/05/2013," $383,964.88 "," $180,329.89 "
01/06/2013," $369,810.08 "," $177,519.47 "
01/07/2013," $355,915.24 "," $185,894.90 "
01/08/2013," $368,045.23 "," $179,683.43 "
01/09/2013," $379,585.38 "," $184,691.89 "
01/10/2013," $400,685.65 "," $192,829.74 "
01/11/2013," $418,533.35 "," $197,995.05 "
01/12/2013," $435,386.38 "," $202,577.36 "
01/01/2014," $404,413.49 "," $195,633.67 "
01/02/2014," $435,449.75 "," $204,058.50 "
01/03/2014," $442,737.88 "," $205,668.83 "
01/04/2014," $439,150.83 "," $206,765.24 "
01/05/2014," $454,422.25 "," $211,064.27 "
01/06/2014," $458,478.93 "," $215,053.26 "
01/07/2014," $450,132.65 "," $211,587.93 "
01/08/2014," $479,128.98 "," $219,654.32 "
01/09/2014," $473,962.47 "," $216,171.11 "
01/10/2014," $461,176.96 "," $221,281.97 "
01/11/2014," $482,051.07 "," $226,692.85 "
01/12/2014," $467,256.16 "," $225,937.84 "
01/01/2015," $442,010.29 "," $218,924.55 "
01/02/2015," $483,143.63 "," $230,747.55 "
01/03/2015," $465,920.20 "," $226,654.82 "
01/04/2015," $470,949.96 "," $228,614.85 "
01/05/2015," $477,331.08 "," $230,806.39 "
01/06/2015," $472,163.31 "," $225,822.82 "
01/07/2015," $477,071.98 "," $229,847.65 "
01/08/2015," $464,275.20 "," $215,397.06 "
01/09/2015," $485,356.85 "," $209,923.82 "
01/10/2015," $525,108.68 "," $227,388.96 "
01/11/2015," $519,656.42 "," $227,350.70 "
01/12/2015," $483,882.32 "," $223,094.97 "
01/01/2016," $460,936.89 "," $212,372.58 "
01/02/2016," $462,102.70 "," $211,856.16 "
01/03/2016," $509,282.42 "," $225,270.18 "
01/04/2016," $560,296.86 "," $226,220.93 "
01/05/2016," $559,944.98 "," $229,479.91 "
01/06/2016," $605,809.48 "," $230,019.12 "
01/07/2016," $620,229.68 "," $238,155.59 "
01/08/2016," $602,927.74 "," $237,914.50 "
01/09/2016," $612,144.45 "," $237,579.21 "
01/10/2016," $590,281.58 "," $233,388.16 "
01/11/2016," $629,971.02 "," $241,077.22 "
01/12/2016," $643,726.79 "," $245,313.29 "
01/01/2017," $667,696.86 "," $248,287.69 "
01/02/2017," $722,159.45 "," $256,766.37 "
01/03/2017," $719,531.46 "," $254,888.21 "
01/04/2017," $733,801.30 "," $257,246.81 "
01/05/2017," $749,565.05 "," $259,756.28 "
01/06/2017," $753,419.35 "," $260,590.72 "
01/07/2017," $765,788.58 "," $264,761.02 "
01/08/2017," $781,008.01 "," $264,178.48 "
01/09/2017," $804,089.38 "," $268,976.47 "
01/10/2017," $821,300.92 "," $274,743.91 "
01/11/2017," $863,141.12 "," $274,917.29 "
01/12/2017," $880,677.98 "," $277,880.46 "
01/01/2018," $979,659.55 "," $292,384.72 "
01/02/2018," $854,224.22 "," $281,731.42 "
01/03/2018," $797,015.35 "," $274,016.88 "
01/04/2018," $773,783.00 "," $275,536.05 "
01/05/2018," $795,228.25 "," $282,032.05 "
01/06/2018," $815,079.84 "," $281,997.84 "
01/07/2018," $842,529.75 "," $293,605.32 "
01/08/2018," $877,985.15 "," $301,967.53 "
01/09/2018," $846,574.92 "," $303,741.63 "
01/10/2018," $800,002.67 "," $281,471.87 "
01/11/2018," $824,104.24 "," $285,883.09 "
01/12/2018," $776,208.55 "," $256,823.53 "
01/01/2019," $833,536.75 "," $280,374.55 "
01/02/2019," $832,643.55 "," $288,899.94 "
01/03/2019," $834,623.86 "," $292,635.31 "
01/04/2019," $905,590.52 "," $302,620.54 "
01/05/2019," $941,324.74 "," $282,092.40 "
01/06/2019," $979,492.37 "," $301,595.16 "
01/07/2019," $989,411.87 "," $302,505.62 "
01/08/2019," $1,129,673.38 "," $297,038.77 "
01/09/2019," $1,111,850.27 "," $303,954.68 "
01/10/2019," $1,145,801.88 "," $309,442.53 "
01/11/2019," $1,188,873.52 "," $318,597.83 "
01/12/2019," $1,259,671.01 "," $327,407.32 "
01/01/2020," $1,266,250.92 "," $325,474.97 "
01/02/2020," $1,130,682.83 "," $297,164.93 "
01/03/2020," $1,076,954.47 "," $260,596.04 "
